,City,NickName,Province,Sex,Signature
0,,与时俱进的马克思主义接班人,,1,"No matter what we bread,we still are made of greed."
1,朝阳,卖萌的小行家,北京,2,啦啦啦！！！
2,,拾亿,,1,只要你努力，就一定可以。
3,,老张,,1,
4,,cara,,2,大号加满了，+小号17187461363
5,昆明,?,云南,2,
6,,超级玛丽merry,Dublin,2,这个号满了 ?17190930084
7,宿迁,甜蜜扩散 ,江苏,2,画一片蓝天
8,,宝宝,,0,
9,,嫣丶Julian,Viedma,2,此号已满 加17187462954
10,,Julian?,,2,大号满了 加小号17187461676
11,,Besty,,2,大号加满了?17187469230
12,浦东新区,?momo沫?,上海,0,"Nothing's gonna change my love for u <span class=""emoji emoji2764""></span>?"
13,,evey爱火锅,,2,这个号已经满咯 请加：17187461646
14,,Krystal是个小可爱?,,2,"大号加满了 ?17199974770 <span class=""emoji emoji1f445""></span>"
15,南京,黄尧,江苏,1,你可知道，你的名字解释了我的一生
16,无锡,沉浮,江苏,1,-   归宿
17,杨浦,周傲英,上海,1,
18,南京,刘江,江苏,1, 
19,,ldjstx,,1,ANTINOMY
20,台州,bachelor,浙江,1,勤学如春起之苗，日有所长；辍学如磨刀之石，日有所亏。
21,,小事,,0,
22,,花花公子美女,,2,提供订单号 五分好评截图加好友，48小时内审核……
23,南京,谭飞舞蹈工作室,江苏,1,15850588813
24,,??淘喜宝??,,0,
25,黄浦,0?妖仙女?,上海,2,这个?满啦 加17191060805哦
26,,Girl,,2,
27,,小小帅气????,Abu Dhabi,1,苦心人
28,泰州,晴天,江苏,1,以物喜，以己悲；有态度，有温度。
29,苏州,Karin??陈,江苏,2,
30,南京,徐美兰,江苏,2,空谷幽兰
31,南京,兔子不吃胡萝卜???,江苏,1,铁岭养兔四厂饲养指导员
32,无锡,妙手书生?二哥,江苏,1,甚么事不痛快了？
33,南京,带头大哥,江苏,1,
34,,花花公子美女,,2,好评返现时间为早上9点到下午6点半.其余第二天返款，谢谢配合
35,泰州,布鲁斯缝纫机，高小冬,江苏,1,路遥知马力，日久见人心
36,苏州,eat fat,江苏,2,傻傻傻狍子
37,扬州,随意,江苏,1,
38,,木仓学长,重庆,1,风雨考研路  木仓陪你一起走
39,,近距离,Villa Krause,0,
40,泰州,无多云。,江苏,1,接受风霜雨雪洗礼，坚持梦想，不忘初心！
41,信阳,李运遥,河南,1,Make me stronger
42,,多吉才让?,Burgenland,2,
43,泰州,哎呀呀,江苏,1,人生总有些些遗憾那就随它去
44,崇明,天涯,上海,1,
45,泰州,所见,江苏,1,
46,南京,Sovay,江苏,1,活着，天底下没有比这更大的道理了！
47,泰州,梦醒了人醉了,江苏,1,有些人，遇不见，是错过；有些人，遇见了，是过错。
48,,结局好，一切都好??,,1,不管生活怎样，都要努力奋斗，保持微笑呀～
49,郑州,誉达,河南,1,
50,合肥,零零,安徽,2,
51,六安,Mrs Q,安徽,2,无与伦比
52,扬州,中国人寿王路红,江苏,2,挑战极限、挑战自我。。。。。加油!
53,菏泽,斑骓一系无寻处,山东,2,也慢慢坏了心肠
54,杨浦,Lofane,上海,1,风一样的男人
55,南京,Sneaker、全,江苏,1,
56,New Orleans City,陳小鹿?,Louisiana,1,最真实的自己，恰好互相迷恋
57,武汉,你猜书本话,湖北,1,躺在阳光下的海
58,南京,梦醒,江苏,1,喜欢一个人，始于颜值，陷于才华，忠于人品。
59,苏州,_风过花开,江苏,1,故事的小黄花 从出生那年就飘着
60,南京,余双,江苏,2,永
61,,辰   伶,,2,谁不向前看，谁就会面临许多困难。
62,淮安,幸运的北极狼,江苏,1,
63,,hg咱们结婚吧,,0,
64,,天凉好个秋。,,1,嗯哼？
65,南通,哦吼哑,江苏,2,?
66,,万门教育加盟11-(813012),,1,全国寻找教育加盟合伙人，项目正在火热进行中
67,南京,?cherry,江苏,2,撒比撒比
68,南通,辣辣辣波?,江苏,1,
69,,瞳里有你,Berlin,2,
70,南京,錪锦墨月,江苏,1,山无棱，天地合，冬雷震震夏雨雪，岂会与卿绝
71,南京,小懒猪丶,江苏,2,
72,泰州,殷敏,江苏,2,
73,南京,刘一帆,江苏,1,thinking reflecting introspective
74,南通,M?,江苏,2,深情只好浅谈
75,扬州,鱼,江苏,1,谋爱之前先谋生
76,杭州,Judy,浙江,2,
77,南京,Yy,江苏,2,繁忙的毕业季
78,,弗洛基斯,,0,
79,,?,,1,
80,南京,冷眼看世界,江苏,2,若你喜欢怪人，其实我很美。
81,南京,小毛驴,江苏,2,
82,宿迁,静沐暖阳,江苏,1,没有伞的孩子，必须奔跑！
83,南京,你是年少的欢喜,江苏,1,你说，你喜欢大海，所以，我这，一浪，许多年。
84,常州,毛毛裤,江苏,2,
85,淮安,Yue,江苏,1,即使你离开，我热情未改。
86,,?+1,,1,如果我不知道，那么你肯定也不知道。
87,,? ?,Dubai,1,要么忙着生存要么忙着死
